Title,Name,OrderIndex,DataType,Address,Length
IO_24,Ready,2,Bit,D10159.2,1
IO_24,CARRIER,3,Bit,D10159.3,1
IO_24,P.Error,4,Bit,D10159.4,1
IO_24,Spare,5,Bit,D10159.5,1
IO_24,P.Online,6,Bit,D10159.6,1
IO_24,P.E-STOP,7,Bit,D10159.7,1
IO_24,Transferring_FromSTK,8,Bit,D10159.8,1
IO_24,TR_REQ_FromSTK,9,Bit,D10159.9,1
IO_24,BUSY_FromSTK,10,Bit,D10159.A,1
IO_24,COMPLETE_FromSTK,11,Bit,D10159.B,1
IO_24,CRANE_1_FromSTK,12,Bit,D10159.C,1
IO_24,CRANE_2_FromSTK,13,Bit,D10159.D,1
IO_24,A.Error_FromSTK,14,Bit,D10159.E,1
IO_24,ForkNumber_FromSTK,15,Bit,D10159.F,1
IO_25,L_REQ,0,Bit,D10319.0,1
IO_25,U_REQ,1,Bit,D10319.1,1
IO_25,Ready,2,Bit,D10319.2,1
IO_25,CARRIER,3,Bit,D10319.3,1
IO_25,P.Error,4,Bit,D10319.4,1
IO_25,Spare,5,Bit,D10319.5,1
IO_25,P.Online,6,Bit,D10319.6,1
IO_25,P.E-STOP,7,Bit,D10319.7,1
IO_25,Transferring_FromSTK,8,Bit,D10319.8,1
IO_25,TR_REQ_FromSTK,9,Bit,D10319.9,1
IO_25,BUSY_FromSTK,10,Bit,D10319.A,1
IO_25,COMPLETE_FromSTK,11,Bit,D10319.B,1
IO_25,CRANE_1_FromSTK,12,Bit,D10319.C,1
IO_25,CRANE_2_FromSTK,13,Bit,D10319.D,1
IO_25,A.Error_FromSTK,14,Bit,D10319.E,1
IO_25,ForkNumber_FromSTK,15,Bit,D10319.F,1
EQ_01,L_REQ,0,Bit,D10412.0,1
EQ_01,U_REQ,1,Bit,D10412.1,1
EQ_01,Ready,2,Bit,D10412.2,1
EQ_01,CARRIER,3,Bit,D10412.3,1
EQ_01,P.Error,4,Bit,D10412.4,1
EQ_01,Spare,5,Bit,D10412.5,1
EQ_01,P.Online,6,Bit,D10412.6,1
EQ_01,P.E-STOP,7,Bit,D10412.7,1
EQ_01,Transferring_FromSTK,8,Bit,D10412.8,1
EQ_01,TR_REQ_FromSTK,9,Bit,D10412.9,1
EQ_01,BUSY_FromSTK,10,Bit,D10412.A,1
EQ_01,COMPLETE_FromSTK,11,Bit,D10412.B,1
EQ_01,CRANE_1_FromSTK,12,Bit,D10412.C,1
EQ_01,CRANE_2_FromSTK,13,Bit,D10412.D,1
EQ_01,A.Error_FromSTK,14,Bit,D10412.E,1
EQ_01,ForkNumber_FromSTK,15,Bit,D10412.F,1
EQ_01,CSTID,16,WordBlock,W2900,10
EQ_02,L_REQ,0,Bit,D10416.0,1
EQ_02,U_REQ,1,Bit,D10416.1,1
EQ_02,Ready,2,Bit,D10416.2,1
EQ_02,CARRIER,3,Bit,D10416.3,1
EQ_02,P.Error,4,Bit,D10416.4,1
EQ_02,Spare,5,Bit,D10416.5,1
EQ_02,P.Online,6,Bit,D10416.6,1
EQ_02,P.E-STOP,7,Bit,D10416.7,1
EQ_02,Transferring_FromSTK,8,Bit,D10416.8,1
EQ_02,TR_REQ_FromSTK,9,Bit,D10416.9,1
EQ_02,BUSY_FromSTK,10,Bit,D10416.A,1
EQ_02,COMPLETE_FromSTK,11,Bit,D10416.B,1
EQ_02,CRANE_1_FromSTK,12,Bit,D10416.C,1
EQ_02,CRANE_2_FromSTK,13,Bit,D10416.D,1
EQ_02,A.Error_FromSTK,14,Bit,D10416.E,1
EQ_02,ForkNumber_FromSTK,15,Bit,D10416.F,1
EQ_02,CSTID,16,WordBlock,W2910,10
EQ_03,L_REQ,0,Bit,D10420.0,1
EQ_03,U_REQ,1,Bit,D10420.1,1
EQ_03,Ready,2,Bit,D10420.2,1
EQ_03,CARRIER,3,Bit,D10420.3,1
EQ_03,P.Error,4,Bit,D10420.4,1
EQ_03,Spare,5,Bit,D10420.5,1
EQ_03,P.Online,6,Bit,D10420.6,1
EQ_03,P.E-STOP,7,Bit,D10420.7,1
EQ_03,Transferring_FromSTK,8,Bit,D10420.8,1
EQ_03,TR_REQ_FromSTK,9,Bit,D10420.9,1
